COURSECODE,COURSENAME,COURSENAMEENG,CREDITTOTAL
SC332002,ระบบสารสนเทศภูมิศาสตร์ขั้นแนะนำ,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEM,3
SC332011,หลักมูลการรับรู้จากระยะไกล,FUNDAMENTALS OF REMOTE SENSING,3
SC332101,ภูมิสารสนเทศศาสตร์สำหรับชีวิตประจำวัน,GEO-INFORMATICS FOR DAILY LIFE,2
SC332102,หลักการทำแผนที่,PRINCIPLES OF CARTOGRAPHY,2
SC332103,ระบบดาวเทียมนำทางสากลขั้นแนะนำ,INTRODUCTION TO GLOBAL NAVIGATION SATELLITE SYSTEM,3
SC332211,รูปถ่ายทางอากาศและการแปลความหมาย,AERIAL PHOTOGRAPH AND INTERPRETATION,3
SC332213,การสำรวจรังวัดและระบบกำหนดตำแหน่งบนโลก,SURVEYING AND GLOBAL POSITIONING SYSTEM,3
SC333012,การประมวลผลเชิงเลขของข้อมูลจากดาวเทียม,DIGITAL PROCESSING OF SATELLITE DATA,3
SC333033,ภูมิศาสตร์ของดิน,SOIL GEOGRAPHY,3
SC333034,การวางแผนการใช้ที่ดินขั้นแนะนำ,INTRODUCTION TO LAND USE PLANNING,3
SC333201,การวิเคราะห์เชิงพื้นที่,GEOSPATIAL ANALYSIS,3
SC333202,การวางผังเมืองและภูมิสารสนเทศศาสตร์,CITY PLANNING AND GEO-INFORMATICS,3
SC333212,หลักการโฟโตแกรมเมตรี,PRINCIPLES OF PHOTOGRAMMETRY,3
SC333214,การรับรู้จากระยะไกลด้วยคลื่นไมโครเวฟขั้นแนะนำ,INTRODUCTION TO MICROWAVE REMOTE SENSING,3
SC333301,การเขียนโปรแกรมในระบบสารสนเทศภูมิศาสตร์,PROGRAMMING IN GEOGRAPHIC INFORMATION SYSTEM,3
SC333302,การประยุกต์ทำแผนที่บนเว็บ,WEB MAPPING APPLICATION,3
SC333303,การออกแบบและมาตรฐานของฐานข้อมูลเชิงพื้นที่,DESIGN AND STANDARD GEO-SPATIAL DATABASE,3
SC333701,สัมมนาทางภูมิสารสนเทศศาสตร์,SEMINAR IN GEO-INFORMATICS,1
SC333702,ระเบียบวิธีวิจัยทางภูมิสารสนเทศศาสตร์,RESEARCH METHODOLOGY IN GEO-INFORMATICS,3
SC334003,ภูมิสารสนเทศศาสตร์ประยุกต์,APPLIED GEO-INFORMATICS,3
SC334703,โครงงานวิจัยทางภูมิสารสนเทศศาสตร์,RESEARCH PROJECT IN GEO-INFORMATICS,3
SC334785,สหกิจศึกษา,CO-OPERATIVE EDUCATION,9
SC361001,ความบันดาลใจในวิชาชีพเทคโนโลยีสารสนเทศ,Inspiration in IT Career,1
SC361002,การเขียนโปรแกรมเชิงโครงสร้างสำหรับเทคโนโลยีสารสนเทศ,Structured Programming for Information Technology,3
SC361003,แนวคิดและการเขียนโปรแกรมเชิงวัตถุ,Object Oriented Concepts and Programming,3
SC361004,การโต้ตอบระหว่างมนุษย์กับคอมพิวเตอร์,Human-Computer Interaction,3
SC361005,องค์ประกอบและสถาปัตยกรรมคอมพิวเตอร์ขั้นแนะนำ,Introduction to Computer Organization and Architecture,3
SC362001,ระบบปฏิบัติการ,Operating Systems,3
SC362002,ขั้นตอนวิธีและโครงสร้างข้อมูล,Algorithms and Data Structures,3
SC362003,เครือข่ายคอมพิวเตอร์ขั้นแนะนำ,Introduction to Computer Networking,3
SC362004,การเขียนโปรแกรมประยุกต์บนเว็บ,Web Application Programming,3
SC362005,การวิเคราะห์และออกแบบฐานข้อมูล,Database Analysis and Design,3
SC362006,ความมั่นคงเทคโนโลยีสารสนเทศและการสื่อสาร,Information and Communication Technology Security,3
SC362007,การเขียนโปรแกรมอุปกรณ์เคลื่อนที่,Mobile Device Programming,3
SC362101,ระบบสารสนเทศทางธุรกิจ,Business Information Systems,3
SC362102,วิศวกรรมซอฟต์แวร์,Software Engineering,3
SC362201,เทคโนโลยีการออกแบบเว็บ,Web Design Technologies,3
SC362202,การพัฒนาโปรแกรมประยุกต์บนเว็บสำหรับอุปกรณ์เคลื่อนที่,Mobile Web Application Development,3
SC362301,ตรรกะดิจิทัลและระบบฝังตัว,Digital Logic and Embedded Systems,3
SC362302,เครือข่ายไร้สายและเคลื่อนที่กับอินเทอร์เน็ตของสรรพสิ่ง,Wireless and Mobile Networks with Internet of Things,3
SC363001,การวิเคราะห์และออกแบบระบบ,Systems Analysis and Design,3
SC363002,การจัดการเชิงกลยุทธ์เทคโนโลยีสารสนเทศ,Strategic Management of Information Technology,3
SC363003,วิชาชีพเทคโนโลยีสารสนเทศ,Information Technology Profession,3
SC363101,การทดสอบซอฟต์แวร์และการประกันคุณภาพ,Software Testing and Quality Assurance,3
SC363102,ระบบธุรกิจอัจฉริยะ,Business Intelligence System,3
SC363204,การพัฒนาโปรแกรมประยุกต์บนเว็บด้วยภาษาจาวา,Java Web Application Development,3
SC363301,การบริหารและบำรุงรักษาระบบ,System Administrationand Maintenance,3
SC363303,เทคโนโลยีความมั่นคงปลอดภัยไซเบอร์เกิดใหม่,Cybersecurity Emerging Technology,3
SC363305,การประมวลผลแบบกลุ่มเมฆและการประยุกต์,Cloud Computing and Application,3
SC363762,ระเบียบวิธีวิจัย,Research Methodology,3
SC401001,คณิตศาสตร์สำหรับวิทยาศาสตร์สุขภาพ,MATHEMATICS FOR HEALTH SCIENCE,3
SC401005,คณิตศาสตร์สำหรับวิทยาศาสตร์สุขภาพ,MATHEMATICS FOR HEALTH SCIENCE,3
SC401006,คณิตศาสตร์ทั่วไป,GENERAL MATHEMATICS,3
SC401201,แคลคูลัสสำหรับวิทยาศาสตร์กายภาพ 1,CALCULUS FOR PHYSICAL SCIENCE I,3
SC401202,แคลคูลัสสำหรับวิทยาศาสตร์กายภาพ 2,CALCULUS  FOR PHYSICAL SCIENCE II,3
SC402101,พีชคณิตเชิงเส้น 1,LINEAR ALGEBRA I,3
SC402401,วิยุตคณิตและการประยุกต์,DISCRETE MATHEMATICS AND APPLICATIONS,3
SC403602,วิธีเชิงตัวเลขสำหรับวิทยาการคอมพิวเตอร์,NUMERICAL METHODS FOR COMPUTER SCIENCE,3
SC501000,ฟิสิกส์เบื้องต้น,ELEMENTARY PHYSICS,3
SC501003,ปฏิบัติการฟิสิกส์ทั่วไป 1,GENERAL PHYSICS LABORATORY I,1
SC602001,สถิติขั้นต้น,Introduction to Statistics,3
SC602003,สถิติเบื้องต้น,ELEMENTARY STATISTICS,3
SC602005,ความน่าจะเป็นและสถิติ,PROBABILITY AND STATISTICS,3
SC902201,วิทยาศาสตร์สิ่งแวดล้อม,ENVIRONMENTAL SCIENCE,3
TE035013,การถนอมอาหารเบื้องต้น,INTRODUCTION TO FOOD PRESERVATIONS,3
TE041002,วิทยาศาสตร์ของโลก,EARTH SCIENCE,3
